pays,groupe,conso_hab_tco2,part_importee_pct,national_hab_tco2,importe_hab_tco2
France,UE,6.1,47,3.23,2.87
Allemagne,UE,9.1,41,5.37,3.73
Italie,UE,7.2,39,4.39,2.81
Espagne,UE,5.5,39,3.36,2.15
Pologne,UE,7.1,24,5.4,1.7
Pays-Bas,UE,8.3,46,4.48,3.82
Belgique,UE,16.8,54,7.73,9.07
UE (27),UE,7.3,28,5.26,2.04
Royaume-Uni,INTL,7.1,41,4.19,2.91
États-Unis,INTL,15.5,21,12.25,3.26
Japon,INTL,9.2,27,6.72,2.48
Chine,INTL,7.6,9,6.92,0.68
Inde,INTL,1.8,14,1.55,0.25
Russie,INTL,9.7,11,8.63,1.07
Brésil,INTL,2.2,26,1.63,0.57
