pays,groupe,annee,co2_territorial_mt,co2_consommation_mt
France,UE,1995,387,499.6
France,UE,2000,407.4,513.5
France,UE,2005,416.3,545.5
France,UE,2010,377.1,511.1
France,UE,2015,332.1,434.7
France,UE,2018,323.1,456.1
France,UE,2020,281.5,399
France,UE,2021,307.3,440.2
France,UE,2022,295.3,437.4
Allemagne,UE,1995,833.6,1152
Allemagne,UE,2000,838.12,1100.67
Allemagne,UE,2005,844.58,1045.26
Allemagne,UE,2010,821.36,1027.08
Allemagne,UE,2015,799.67,899.51
Allemagne,UE,2018,762.7,892.14
Allemagne,UE,2020,644.26,777.62
Allemagne,UE,2021,681.92,834.07
Allemagne,UE,2022,645.82,838.81
Italie,UE,1995,439.82,559.67
Italie,UE,2000,465.37,576.93
Italie,UE,2005,486.54,605.54
Italie,UE,2010,416.09,624.46
Italie,UE,2015,391.17,460.77
Italie,UE,2018,369.2,466.81
Italie,UE,2020,331.98,402.24
Italie,UE,2021,360.63,451.81
Italie,UE,2022,360.24,461.8
Espagne,UE,1995,288.29,288.95
Espagne,UE,2000,332.37,359.24
Espagne,UE,2005,398.33,412.09
Espagne,UE,2010,328.61,359.39
Espagne,UE,2015,286.55,310.69
Espagne,UE,2018,281.62,332.27
Espagne,UE,2020,256.55,289.54
Espagne,UE,2021,282.91,316.78
Espagne,UE,2022,291.34,319.49
Pologne,UE,1995,379.85,336.53
Pologne,UE,2000,344.34,317.77
Pologne,UE,2005,369.2,369.16
Pologne,UE,2010,396.21,418.26
Pologne,UE,2015,398.66,381.62
Pologne,UE,2018,401.07,405.07
Pologne,UE,2020,373.08,369.84
Pologne,UE,2021,407.69,413.27
Pologne,UE,2022,401.24,413.48
Pays-Bas,UE,1995,182.72,182.66
Pays-Bas,UE,2000,193.5,
Pays-Bas,UE,2005,206.22,203.66
Pays-Bas,UE,2010,201.28,210.92
Pays-Bas,UE,2015,188.34,160.66
Pays-Bas,UE,2018,189.41,165.48
Pays-Bas,UE,2020,165.22,146.85
Pays-Bas,UE,2021,177.97,159.29
Pays-Bas,UE,2022,171.51,157.38
Belgique,UE,1995,125.97,125.97
Belgique,UE,2000,126.78,195.34
Belgique,UE,2005,125.66,213.45
Belgique,UE,2010,114.56,207.06
Belgique,UE,2015,101.33,201.64
Belgique,UE,2018,100.26,211.91
Belgique,UE,2020,91.25,182.34
Belgique,UE,2021,94.93,201.82
Belgique,UE,2022,88.91,207.1
Chine,INTL,1995,3351.2,3036.6
Chine,INTL,2000,3643.8,3236
Chine,INTL,2005,5882,4646.6
Chine,INTL,2010,8610,7260.7
Chine,INTL,2015,9858,8789.7
Chine,INTL,2018,10346.8,9443.4
Chine,INTL,2020,10896.5,9798.9
Chine,INTL,2021,11284.4,10088
Chine,INTL,2022,11711.8,10427
États-Unis,INTL,1995,5425.8,5386.5
États-Unis,INTL,2000,6023.2,6229.7
États-Unis,INTL,2005,6126.9,6656
États-Unis,INTL,2010,5669.3,5800
États-Unis,INTL,2015,5368.5,5650
États-Unis,INTL,2018,5361.2,5640
États-Unis,INTL,2020,4690,4830
États-Unis,INTL,2021,5020.1,5489
États-Unis,INTL,2022,5055.4,5541
Inde,INTL,1995,760.5,728.6
Inde,INTL,2000,987.1,914.4
Inde,INTL,2005,1195.4,1104.5
Inde,INTL,2010,1678.5,1571.1
Inde,INTL,2015,2231.8,1961.1
Inde,INTL,2018,2595.2,2239.1
Inde,INTL,2020,2422.7,2085.1
Inde,INTL,2021,2675.8,2252
Inde,INTL,2022,2831.1,2340
Japon,INTL,1995,1235.9,1560
Japon,INTL,2000,1260.2,1582.8
Japon,INTL,2005,1286.4,1512.4
Japon,INTL,2010,1211.1,1421.6
Japon,INTL,2015,1220,1320.9
Japon,INTL,2018,1138.5,1274.3
Japon,INTL,2020,1037.3,1183.8
Japon,INTL,2021,1058.5,1219.8
Japon,INTL,2022,1029.6,1201.5
Russie,INTL,1995,1618.3,1256.3
Russie,INTL,2000,1480.6,1137.8
Russie,INTL,2005,1564,1464.1
Russie,INTL,2010,1633.1,1581.7
Russie,INTL,2015,1635.2,1464.7
Russie,INTL,2018,1709.9,1406.8
Russie,INTL,2020,1631.9,1351.1
Russie,INTL,2021,1674.5,1375.2
Russie,INTL,2022,1675.5,1299.2
Brésil,INTL,1995,268.7,290.4
Brésil,INTL,2000,340.2,353.8
Brésil,INTL,2005,364.4,349.1
Brésil,INTL,2010,440.3,478.9
Brésil,INTL,2015,528.2,556.2
Brésil,INTL,2018,476.6,484.4
Brésil,INTL,2020,448,437.2
Brésil,INTL,2021,496.6,473.3
Brésil,INTL,2022,480.1,465.2
Royaume-Uni,INTL,1995,566.2,612.3
Royaume-Uni,INTL,2000,569,656.5
Royaume-Uni,INTL,2005,570.3,651.9
Royaume-Uni,INTL,2010,511.9,655.2
Royaume-Uni,INTL,2015,422.5,592.4
Royaume-Uni,INTL,2018,379.7,548
Royaume-Uni,INTL,2020,326.3,449.3
Royaume-Uni,INTL,2021,342.4,495.3
Royaume-Uni,INTL,2022,365,475.2
