pays,secteur,part_pct,total_mtco2eq,import_net_pct,population_m
France,Électricité & chaleur,11.2,393,48,68.2
France,Transport,31.5,393,48,68.2
France,Industrie & construction,15,393,48,68.2
France,Bâtiments,12.6,393,48,68.2
France,Agriculture,17.1,393,48,68.2
France,Autres / fugitives,12.5,393,48,68.2
Allemagne,Électricité & chaleur,31.8,673,30,84.5
Allemagne,Transport,20.9,673,30,84.5
Allemagne,Industrie & construction,16.5,673,30,84.5
Allemagne,Bâtiments,15.9,673,30,84.5
Allemagne,Agriculture,8.1,673,30,84.5
Allemagne,Autres / fugitives,6.8,673,30,84.5
Italie,Électricité & chaleur,22.4,387,28,58.9
Italie,Transport,27.7,387,28,58.9
Italie,Industrie & construction,16.3,387,28,58.9
Italie,Bâtiments,13.4,387,28,58.9
Italie,Agriculture,8.1,387,28,58.9
Italie,Autres / fugitives,12.2,387,28,58.9
Espagne,Électricité & chaleur,17.4,309,10,48.4
Espagne,Transport,29.8,309,10,48.4
Espagne,Industrie & construction,13.7,309,10,48.4
Espagne,Bâtiments,7.1,309,10,48.4
Espagne,Agriculture,12.3,309,10,48.4
Espagne,Autres / fugitives,19.6,309,10,48.4
Pologne,Électricité & chaleur,36.4,339,3,36.8
Pologne,Transport,20.1,339,3,36.8
Pologne,Industrie & construction,11.6,339,3,36.8
Pologne,Bâtiments,10.7,339,3,36.8
Pologne,Agriculture,10.1,339,3,36.8
Pologne,Autres / fugitives,11.1,339,3,36.8
Pays-Bas,Électricité & chaleur,23.9,182,-8,17.9
Pays-Bas,Transport,14.6,182,-8,17.9
Pays-Bas,Industrie & construction,13,182,-8,17.9
Pays-Bas,Bâtiments,9.6,182,-8,17.9
Pays-Bas,Agriculture,10.2,182,-8,17.9
Pays-Bas,Autres / fugitives,28.6,182,-8,17.9
Belgique,Électricité & chaleur,14.7,122,133,11.7
Belgique,Transport,19.8,122,133,11.7
Belgique,Industrie & construction,18.8,122,133,11.7
Belgique,Bâtiments,14.3,122,133,11.7
Belgique,Agriculture,7.3,122,133,11.7
Belgique,Autres / fugitives,25.1,122,133,11.7
UE (27),Électricité & chaleur,23.8,3260,30,449
UE (27),Transport,24.3,3260,30,449
UE (27),Industrie & construction,15.4,3260,30,449
UE (27),Bâtiments,11.3,3260,30,449
UE (27),Agriculture,11.4,3260,30,449
UE (27),Autres / fugitives,13.8,3260,30,449
Royaume-Uni,Électricité & chaleur,18.6,421,30,67.7
Royaume-Uni,Transport,25.9,421,30,67.7
Royaume-Uni,Industrie & construction,11.1,421,30,67.7
Royaume-Uni,Bâtiments,16.9,421,30,67.7
Royaume-Uni,Agriculture,11.9,421,30,67.7
Royaume-Uni,Autres / fugitives,15.5,421,30,67.7
États-Unis,Électricité & chaleur,29.6,5897,10,335
États-Unis,Transport,29.3,5897,10,335
États-Unis,Industrie & construction,11.5,5897,10,335
États-Unis,Bâtiments,8.8,5897,10,335
États-Unis,Agriculture,6.2,5897,10,335
États-Unis,Autres / fugitives,14.5,5897,10,335
Japon,Électricité & chaleur,43.8,1095,17,124.5
Japon,Transport,17.4,1095,17,124.5
Japon,Industrie & construction,22.8,1095,17,124.5
Japon,Bâtiments,8.3,1095,17,124.5
Japon,Agriculture,2.1,1095,17,124.5
Japon,Autres / fugitives,5.6,1095,17,124.5
Chine,Électricité & chaleur,48.7,14050,-11,1411
Chine,Transport,7.7,14050,-11,1411
Chine,Industrie & construction,27.4,14050,-11,1411
Chine,Bâtiments,3.4,14050,-11,1411
Chine,Agriculture,4.9,14050,-11,1411
Chine,Autres / fugitives,7.9,14050,-11,1411
Inde,Électricité & chaleur,37.5,4137,-17,1429
Inde,Transport,8.8,4137,-17,1429
Inde,Industrie & construction,21.7,4137,-17,1429
Inde,Bâtiments,5.8,4137,-17,1429
Inde,Agriculture,19.5,4137,-17,1429
Inde,Autres / fugitives,6.7,4137,-17,1429
Russie,Électricité & chaleur,37.7,2440,-23,143.8
Russie,Transport,11.6,2440,-23,143.8
Russie,Industrie & construction,15.2,2440,-23,143.8
Russie,Bâtiments,8.4,2440,-23,143.8
Russie,Agriculture,4.2,2440,-23,143.8
Russie,Autres / fugitives,23,2440,-23,143.8
Brésil,Électricité & chaleur,5.7,1225,-3,216.4
Brésil,Transport,18.5,1225,-3,216.4
Brésil,Industrie & construction,12,1225,-3,216.4
Brésil,Bâtiments,2.4,1225,-3,216.4
Brésil,Agriculture,47.5,1225,-3,216.4
Brésil,Autres / fugitives,13.9,1225,-3,216.4
